Kanji,Kana,English,In_Current_1147,In_Complete_1426,In_Tanos_658,Category
"(none)","パーティー","party",YES,YES,YES,ALL
"(none)","はい","yes",YES,YES,YES,ALL
"灰皿","はいざら","ashtray",YES,YES,YES,ALL
"入る","はいる","to enter,to contain",YES,YES,YES,ALL
"葉書","はがき","postcard",YES,YES,YES,ALL
"(none)","はく","to wear,to put on trousers",YES,YES,YES,ALL
"箱","はこ","box",YES,YES,YES,ALL
"橋","はし","bridge",YES,YES,YES,ALL
"(none)","はし","chopsticks",YES,YES,YES,ALL
"始まる","はじまる","to begin",YES,YES,YES,ALL
"初め/始め","はじめ","beginning",YES,YES,YES,ALL
"初めて","はじめて","for the first time",YES,YES,YES,ALL
"走る","はしる","to run",YES,YES,YES,ALL
"(none)","バス","bus",YES,YES,YES,ALL
"(none)","バター","butter",YES,YES,YES,ALL
"二十歳","はたち","20 years old,20th year",YES,YES,YES,ALL
"働く","はたらく","to work",YES,YES,YES,ALL
"八","はち","eight",YES,YES,YES,ALL
"二十日","はつか","twenty days,twentieth",YES,YES,YES,ALL
"花","はな","flower",YES,YES,YES,ALL
"鼻","はな","nose",YES,YES,YES,ALL
"話","はなし","talk,story",YES,YES,YES,ALL
"話す","はなす","to speak",YES,YES,YES,ALL
"早い","はやい","early",YES,YES,YES,ALL
"速い","はやい","quick",YES,YES,YES,ALL
"春","はる","spring",YES,YES,YES,ALL
"貼る","はる","to stick",YES,YES,YES,ALL
"晴れ","はれ","clear weather",YES,YES,YES,ALL
"晴れる","はれる","to be sunny",YES,YES,YES,ALL
"半","はん","half",YES,YES,YES,ALL
"晩","ばん","evening",YES,YES,YES,ALL
"(none)","パン","bread",YES,YES,YES,ALL
"(none)","ハンカチ","handkerchief",YES,YES,YES,ALL
"番号","ばんごう","number",YES,YES,YES,ALL
"晩御飯","ばんごはん","evening meal",YES,YES,YES,ALL
"半分","はんぶん","half minute",YES,YES,YES,ALL
"東","ひがし","east",YES,YES,YES,ALL
"引く","ひく","to pull",YES,YES,YES,ALL
"弾く","ひく","",YES,YES,YES,ALL
"低い","ひくい","short,low",YES,YES,YES,ALL
"飛行機","ひこうき","aeroplane",YES,YES,YES,ALL
"左","ひだり","left hand side",YES,YES,YES,ALL
"人","ひと","person",YES,YES,YES,ALL
"一つ","ひとつ","one",YES,YES,YES,ALL
"一月","ひとつき","one month",YES,YES,YES,ALL
"一人","ひとり","one person",YES,YES,YES,ALL
"暇","ひま","free time",YES,YES,YES,ALL
"百","ひゃく","hundred",YES,YES,YES,ALL
"病院","びょういん","hospital",YES,YES,YES,ALL
"病気","びょうき","illness",YES,YES,YES,ALL
"昼","ひる","noon, daytime",YES,YES,YES,ALL
"昼御飯","ひるごはん","midday meal",YES,YES,YES,ALL
"広い","ひろい","spacious,wide",YES,YES,YES,ALL
"(none)","フィルム","roll of film",YES,YES,YES,ALL
"封筒","ふうとう","envelope",YES,YES,YES,ALL
"(none)","プール","swimming pool",YES,YES,YES,ALL
"(none)","フォーク","fork",YES,YES,YES,ALL
"吹く","ふく","to blow",YES,YES,YES,ALL
"服","ふく","clothes",YES,YES,YES,ALL
"二つ","ふたつ","two",YES,YES,YES,ALL
"豚肉","ぶたにく","pork",YES,YES,YES,ALL
"二人","ふたり","two people",YES,YES,YES,ALL
"二日","ふつか","two days, second day of the month",YES,YES,YES,ALL
"太い","ふとい","fat",YES,YES,YES,ALL
"冬","ふゆ","winter",YES,YES,YES,ALL
"降る","ふる","to fall, e.g. rain or snow",YES,YES,YES,ALL
"古い","ふるい","old (not used for people)",YES,YES,YES,ALL
"(none)","ふろ","bath",YES,YES,YES,ALL
"文章","ぶんしょう","sentence,text",YES,YES,YES,ALL
"(none)","ページ","page",YES,YES,YES,ALL
"下手","へた","unskillful",YES,YES,YES,ALL
"(none)","ベッド","bed",YES,YES,YES,ALL
"(none)","ペット","pet",YES,YES,YES,ALL
"部屋","へや","room",YES,YES,YES,ALL
"辺","へん","area",YES,YES,YES,ALL
"(none)","ペン","pen",YES,YES,YES,ALL
"勉強","べんきょうする","to study",YES,YES,YES,ALL
"便利","べんり","useful, convenient",YES,YES,YES,ALL
"帽子","ぼうし","hat",YES,YES,YES,ALL
"(none)","ボールペン","ball-point pen",YES,YES,YES,ALL
"(none)","ほか","other, the rest",YES,YES,YES,ALL
"(none)","ポケット","pocket",YES,YES,YES,ALL
"欲しい","ほしい","want",YES,YES,YES,ALL
"(none)","ポスト","post",YES,YES,YES,ALL
"細い","ほそい","thin",YES,YES,YES,ALL
"(none)","ボタン","button",YES,YES,YES,ALL
"(none)","ホテル","hotel",YES,YES,YES,ALL
"本","ほん","book",YES,YES,YES,ALL
"本棚","ほんだな","bookshelves",YES,YES,YES,ALL
"(none)","ほんとう","truth",YES,YES,YES,ALL
"毎朝","まいあさ","every morning",YES,YES,YES,ALL
"毎週","まいしゅう","every week",YES,YES,YES,ALL
"毎日","まいにち","every day",YES,YES,YES,ALL
"毎晩","まいばん","every night",YES,YES,YES,ALL
"前","まえ","before",YES,YES,YES,ALL
"曲る","まがる","to turn,to bend",YES,YES,YES,ALL
"(none)","まずい","unpleasant",YES,YES,YES,ALL
"(none)","また","again,and",YES,YES,YES,ALL
"(none)","まだ","yet,still",YES,YES,YES,ALL
"町","まち","town,city",YES,YES,YES,ALL
"待つ","まつ","to wait",YES,YES,YES,ALL
"(none)","まっすぐ","straight ahead,direct",YES,YES,YES,ALL
"(none)","マッチ","match",YES,YES,YES,ALL
"窓","まど","window",YES,YES,YES,ALL
"丸い/円い","まるい","round,circular",YES,YES,YES,ALL
"万","まん","ten thousand",YES,YES,YES,ALL
"万年筆","まんねんひつ","fountain pen",YES,YES,YES,ALL
"磨く","みがく","to brush teeth, to polish",YES,YES,YES,ALL
"右","みぎ","right side",YES,YES,YES,ALL
"短い","みじかい","short",YES,YES,YES,ALL
"水","みず","water",YES,YES,YES,ALL
"店","みせ","shop",YES,YES,YES,ALL
"見せる","みせる","to show",YES,YES,YES,ALL
"道","みち","street",YES,YES,YES,ALL
"三日","みっか","three days, third day of the month",YES,YES,YES,ALL
"三つ","みっつ","three",YES,YES,YES,ALL
"緑","みどり","green",YES,YES,YES,ALL
"皆さん","みなさん","everyone",YES,YES,YES,ALL
"南","みなみ","south",YES,YES,YES,ALL
"耳","みみ","ear",YES,YES,YES,ALL
"(none)","みんな","everyone",YES,YES,YES,ALL
"六日","むいか","six days, sixth day of the month",YES,YES,YES,ALL
"向こう","むこう","over there",YES,YES,YES,ALL
"難しい","むずかしい","difficult",YES,YES,YES,ALL
"六つ","むっつ","six",YES,YES,YES,ALL
"村","むら","village",YES,YES,YES,ALL
"目","め","eye",YES,YES,YES,ALL
"(none)","メートル","metre",YES,YES,YES,ALL
"眼鏡","めがね","glasses",YES,YES,YES,ALL
"(none)","もう","already",YES,YES,YES,ALL
"もう一度","もういちど","again",YES,YES,YES,ALL
"木曜日","もくようび","Thursday",YES,YES,YES,ALL
"持つ","もつ","to hold",YES,YES,YES,ALL
"(none)","もっと","more",YES,YES,YES,ALL
"物","もの","thing",YES,YES,YES,ALL
"門","もん","gate",YES,YES,YES,ALL
"問題","もんだい","problem",YES,YES,YES,ALL
"八百屋","やおや","greengrocer",YES,YES,YES,ALL
"野菜","やさい","vegetable",YES,YES,YES,ALL
"易しい","やさしい","easy, simple",YES,YES,YES,ALL
"安い","やすい","cheap",YES,YES,YES,ALL
"休み","やすみ","rest,holiday",YES,YES,YES,ALL
"休む","やすむ","to rest",YES,YES,YES,ALL
"八つ","やっつ","eight",YES,YES,YES,ALL
"山","やま","mountain",YES,YES,YES,ALL
"(none)","やる","to do",YES,YES,YES,ALL
"夕方","ゆうがた","evening",YES,YES,YES,ALL
"夕飯","ゆうはん","dinner",YES,YES,YES,ALL
"郵便局","ゆうびんきょく","post office",YES,YES,YES,ALL
"昨夜","ゆうべ","last night",YES,YES,YES,ALL
"有名","ゆうめい","famous",YES,YES,YES,ALL
"雪","ゆき","snow",YES,YES,YES,ALL
"行く","ゆく","to go",YES,YES,YES,ALL
"(none)","ゆっくりと","slowly",YES,YES,YES,ALL
"八日","ようか","eight days, eighth day of the month",YES,YES,YES,ALL
"洋服","ようふく","western-style clothes",YES,YES,YES,ALL
"(none)","よく","often, well",YES,YES,YES,ALL
"横","よこ","beside,side,width",YES,YES,YES,ALL
"四日","よっか","four days, fouth day of the month",YES,YES,YES,ALL
"四つ","よっつ","four",YES,YES,YES,ALL
"呼ぶ","よぶ","to call out,to invite",YES,YES,YES,ALL
"読む","よむ","to read",YES,YES,YES,ALL
"夜","よる","evening,night",YES,YES,YES,ALL
"弱い","よわい","weak",YES,YES,YES,ALL
"来月","らいげつ","next month",YES,YES,YES,ALL
"来週","らいしゅう","next week",YES,YES,YES,ALL
"来年","らいねん","next year",YES,YES,YES,ALL
"(none)","ラジオ","radio",YES,YES,YES,ALL
"(none)","ラジカセ","/",NO,NO,YES,TANOS_ONLY
"(none)","りっぱ","splendid",YES,YES,YES,ALL
"留学生","りゅうがくせい","overseas student",YES,YES,YES,ALL
"両親","りょうしん","both parents",YES,YES,YES,ALL
"料理","りょうり","cuisine",YES,YES,YES,ALL
"旅行","りょこう","travel",YES,YES,YES,ALL
"零","れい","zero",YES,YES,YES,ALL
"冷蔵庫","れいぞうこ","refrigerator",YES,YES,YES,ALL
"(none)","レコード","record",YES,YES,YES,ALL
"(none)","レストラン","restaurant",YES,YES,YES,ALL
"練習","れんしゅうする","to practice",YES,YES,YES,ALL
"廊下","ろうか","corridor",YES,YES,YES,ALL
"六","ろく","six",YES,YES,YES,ALL
"(none)","ワイシャツ","business shirt",YES,YES,YES,ALL
"若い","わかい","young",YES,YES,YES,ALL
"分かる","わかる","to be understood",YES,YES,YES,ALL
"忘れる","わすれる","to forget",YES,YES,YES,ALL
"私","わたくし","(humble) I,myself",YES,YES,YES,ALL
"私","わたし","I,myself",YES,YES,YES,ALL
"渡す","わたす","to hand over",YES,YES,YES,ALL
"渡る","わたる","to go across",YES,YES,YES,ALL
"悪い","わるい","bad",YES,YES,YES,ALL
"(none)","あ","",NO,YES,NO,COMP_ONLY
"(none)","ああ","",NO,YES,NO,COMP_ONLY
"(none)","あいます","",NO,YES,NO,COMP_ONLY
"(none)","あがります","",NO,YES,NO,COMP_ONLY
"(none)","あきます","",NO,YES,NO,COMP_ONLY
"(none)","あけます","",NO,YES,NO,COMP_ONLY
"(none)","あげます","",NO,YES,NO,COMP_ONLY
"(none)","あそびます","",NO,YES,NO,COMP_ONLY
"(none)","あのう","",NO,YES,NO,COMP_ONLY
"(none)","あびます","",NO,YES,NO,COMP_ONLY
"(none)","あらいます","",NO,YES,NO,COMP_ONLY
"(none)","ありがとうございます","",NO,YES,NO,COMP_ONLY
"(none)","あります","",NO,YES,NO,COMP_ONLY
"(none)","ある","",YES,YES,NO,CURR+COMP
"(none)","あるきます","",NO,YES,NO,COMP_ONLY
"(none)","いい","",NO,YES,NO,COMP_ONLY
"(none)","いい/よい","",YES,YES,NO,CURR+COMP
"(none)","いいます","",NO,YES,NO,COMP_ONLY
"(none)","いきます","",NO,YES,NO,COMP_ONLY
"(none)","いただきます","",NO,YES,NO,COMP_ONLY
"(none)","いちど","",NO,YES,NO,COMP_ONLY
"(none)","いってきます","",NO,YES,NO,COMP_ONLY
"(none)","います","",NO,YES,NO,COMP_ONLY
"(none)","いもうとさん","",NO,YES,NO,COMP_ONLY
"(none)","いらっしゃいませ","",NO,YES,NO,COMP_ONLY
"(none)","いります","",NO,YES,NO,COMP_ONLY
"(none)","いれます","",NO,YES,NO,COMP_ONLY
"(none)","うたいます","",NO,YES,NO,COMP_ONLY
"(none)","うち","",NO,YES,NO,COMP_ONLY
"(none)","うまれます","",NO,YES,NO,COMP_ONLY
"(none)","うります","",NO,YES,NO,COMP_ONLY
"(none)","うれしい","",NO,YES,NO,COMP_ONLY
"(none)","うーん","",NO,YES,NO,COMP_ONLY
"(none)","えっ","",NO,YES,NO,COMP_ONLY
"(none)","えらびます","",NO,YES,NO,COMP_ONLY
"(none)","えん","",NO,YES,NO,COMP_ONLY
"(none)","えー","",NO,YES,NO,COMP_ONLY
"(none)","お","",NO,YES,NO,COMP_ONLY
"(none)","おいでになります","",NO,YES,NO,COMP_ONLY
"(none)","おきます","",NO,YES,NO,COMP_ONLY
"(none)","おくに","",NO,YES,NO,COMP_ONLY
"(none)","おくります","",NO,YES,NO,COMP_ONLY
"(none)","おげんきで","",NO,YES,NO,COMP_ONLY
"(none)","おしえます","",NO,YES,NO,COMP_ONLY
"(none)","おそく","",NO,YES,NO,COMP_ONLY
"(none)","おとうとさん","",NO,YES,NO,COMP_ONLY
"(none)","おにぎり","",NO,YES,NO,COMP_ONLY
"(none)","おねがいします","",NO,YES,NO,COMP_ONLY
"(none)","おはようございます","",NO,YES,NO,COMP_ONLY
"(none)","おぼえます","",NO,YES,NO,COMP_ONLY
"(none)","おみせ","",NO,YES,NO,COMP_ONLY
"(none)","おやすみなさい","",NO,YES,NO,COMP_ONLY
"(none)","およぎます","",NO,YES,NO,COMP_ONLY
"(none)","おります","",NO,YES,NO,COMP_ONLY
"(none)","おわります","",NO,YES,NO,COMP_ONLY
"(none)","か","",NO,YES,NO,COMP_ONLY
"(none)","かい","",NO,YES,NO,COMP_ONLY
"(none)","かいとうようし","",NO,YES,NO,COMP_ONLY
"(none)","かいます","",NO,YES,NO,COMP_ONLY
"(none)","かえします","",NO,YES,NO,COMP_ONLY
"(none)","かえります","",NO,YES,NO,COMP_ONLY
"(none)","かお","",NO,YES,NO,COMP_ONLY
"(none)","かかります","",NO,YES,NO,COMP_ONLY
"(none)","かかん","",NO,YES,NO,COMP_ONLY
"(none)","かきます","",NO,YES,NO,COMP_ONLY
"(none)","かけます","",NO,YES,NO,COMP_ONLY
"(none)","かげつ","",NO,YES,NO,COMP_ONLY
"(none)","かします","",NO,YES,NO,COMP_ONLY
"(none)","かない","",NO,YES,NO,COMP_ONLY
"(none)","かぶります","",NO,YES,NO,COMP_ONLY
"(none)","かります","",NO,YES,NO,COMP_ONLY
"(none)","かんがえます","",NO,YES,NO,COMP_ONLY
"(none)","かんたん","",NO,YES,NO,COMP_ONLY
"(none)","がつ","",NO,YES,NO,COMP_ONLY
"(none)","がります","",NO,YES,NO,COMP_ONLY
"(none)","がわ","",NO,YES,NO,COMP_ONLY
"(none)","きえます","",NO,YES,NO,COMP_ONLY
"(none)","ききます","",NO,YES,NO,COMP_ONLY
"(none)","きます","",NO,YES,NO,COMP_ONLY
"(none)","きゅう/く","",YES,YES,NO,CURR+COMP
"(none)","きょうと","",NO,YES,NO,COMP_ONLY
"(none)","きります","",NO,YES,NO,COMP_ONLY
"(none)","きん","",NO,YES,NO,COMP_ONLY
"(none)","く","",NO,YES,NO,COMP_ONLY
"(none)","くろく","",NO,YES,NO,COMP_ONLY
"(none)","けします","",NO,YES,NO,COMP_ONLY
"(none)","けしゴム","",NO,YES,NO,COMP_ONLY
"(none)","けっこんします","",NO,YES,NO,COMP_ONLY
"(none)","げつ","",NO,YES,NO,COMP_ONLY
"(none)","こ","",NO,YES,NO,COMP_ONLY
"(none)","こたえ","",NO,YES,NO,COMP_ONLY
"(none)","こたえかた","",NO,YES,NO,COMP_ONLY
"(none)","こたえます","",NO,YES,NO,COMP_ONLY
"(none)","こちらこそ","",NO,YES,NO,COMP_ONLY
"(none)","こまります","",NO,YES,NO,COMP_ONLY
"(none)","こんにちは","",NO,YES,NO,COMP_ONLY
"(none)","こんばんは","",NO,YES,NO,COMP_ONLY
"(none)","ごしゅじん","",NO,YES,NO,COMP_ONLY
"(none)","ごちそうさまでした","",NO,YES,NO,COMP_ONLY
"(none)","ごめんください","",NO,YES,NO,COMP_ONLY
"(none)","ごめんなさい","",NO,YES,NO,COMP_ONLY
"(none)","ごろ","",NO,YES,NO,COMP_ONLY
"(none)","さい","",NO,YES,NO,COMP_ONLY
"(none)","さいご","",NO,YES,NO,COMP_ONLY
"(none)","さきます","",NO,YES,NO,COMP_ONLY
"(none)","さします","",NO,YES,NO,COMP_ONLY
"(none)","さつ","",NO,YES,NO,COMP_ONLY
"(none)","さようなら","",NO,YES,NO,COMP_ONLY
"(none)","さんぽ","",NO,YES,NO,COMP_ONLY
"(none)","し/よん","",YES,YES,NO,CURR+COMP
"(none)","しち/なな","",YES,YES,NO,CURR+COMP
"(none)","しつれいしました","",NO,YES,NO,COMP_ONLY
"(none)","しつれいします","",NO,YES,NO,COMP_ONLY
"(none)","しにます","",NO,YES,NO,COMP_ONLY
"(none)","します","",NO,YES,NO,COMP_ONLY
"(none)","しまります","",NO,YES,NO,COMP_ONLY
"(none)","しめます","",NO,YES,NO,COMP_ONLY
"(none)","しゅう","",NO,YES,NO,COMP_ONLY
"(none)","しゅうかん","",NO,YES,NO,COMP_ONLY
"(none)","しります","",NO,YES,NO,COMP_ONLY
"(none)","じ","",NO,YES,NO,COMP_ONLY
"(none)","じゃ","",NO,YES,NO,COMP_ONLY
"(none)","じゃ/じゃあ","",YES,YES,NO,CURR+COMP
"(none)","じゃあ","",NO,YES,NO,COMP_ONLY
"(none)","じゅうとお","",YES,YES,NO,CURR+COMP
"(none)","じょうずに","",NO,YES,NO,COMP_ONLY
"(none)","じん","",NO,YES,NO,COMP_ONLY
"(none)","すい","",NO,YES,NO,COMP_ONLY
"(none)","すいます","",NO,YES,NO,COMP_ONLY
"(none)","すぎ","",NO,YES,NO,COMP_ONLY
"(none)","すし","",NO,YES,NO,COMP_ONLY
"(none)","すしや","",NO,YES,NO,COMP_ONLY
"(none)","すみます","",NO,YES,NO,COMP_ONLY
"(none)","すみません","",NO,YES,NO,COMP_ONLY
"(none)","すわります","",NO,YES,NO,COMP_ONLY
"(none)","ずつ","",NO,YES,NO,COMP_ONLY
"(none)","そうして/そして","",YES,YES,NO,CURR+COMP
"(none)","そうしましょう","",NO,YES,NO,COMP_ONLY
"(none)","そうじ","",NO,YES,NO,COMP_ONLY
"(none)","そうじします","",NO,YES,NO,COMP_ONLY
"(none)","そうです","",NO,YES,NO,COMP_ONLY
"(none)","そうですか","",NO,YES,NO,COMP_ONLY
"(none)","そうですね","",NO,YES,NO,COMP_ONLY
"(none)","そして","",NO,YES,NO,COMP_ONLY
"(none)","たいてい","",NO,YES,NO,COMP_ONLY
"(none)","ただいま","",NO,YES,NO,COMP_ONLY
"(none)","ただしい","",NO,YES,NO,COMP_ONLY
"(none)","たち","",NO,YES,NO,COMP_ONLY
"(none)","たちます","",NO,YES,NO,COMP_ONLY
"(none)","たのみます","",NO,YES,NO,COMP_ONLY
"(none)","たべます","",NO,YES,NO,COMP_ONLY
"(none)","だい","",NO,YES,NO,COMP_ONLY
"(none)","だいたい","",NO,YES,NO,COMP_ONLY
"(none)","だから","",NO,YES,NO,COMP_ONLY
"(none)","だします","",NO,YES,NO,COMP_ONLY
"(none)","ちがいます","",NO,YES,NO,COMP_ONLY
"(none)","ちち","",NO,YES,NO,COMP_ONLY
"(none)","ちゅう","",NO,YES,NO,COMP_ONLY
"(none)","つ","",NO,YES,NO,COMP_ONLY
"(none)","つかいます","",NO,YES,NO,COMP_ONLY
"(none)","つかれます","",NO,YES,NO,COMP_ONLY
"(none)","つきます","",NO,YES,NO,COMP_ONLY
"(none)","つくりかた","",NO,YES,NO,COMP_ONLY
"(none)","つくります","",NO,YES,NO,COMP_ONLY
"(none)","つけます","",NO,YES,NO,COMP_ONLY
"(none)","つとめます","",NO,YES,NO,COMP_ONLY
"(none)","でかけます","",NO,YES,NO,COMP_ONLY
"(none)","できます","",NO,YES,NO,COMP_ONLY
"(none)","では、また","",NO,YES,NO,COMP_ONLY
"(none)","でます","",NO,YES,NO,COMP_ONLY
"(none)","でんわします","",NO,YES,NO,COMP_ONLY
"(none)","でんわばんごう","",NO,YES,NO,COMP_ONLY
"(none)","とうきょう","",NO,YES,NO,COMP_ONLY
"(none)","とうふ","",NO,YES,NO,COMP_ONLY
"(none)","とお","",NO,YES,NO,COMP_ONLY
"(none)","とおく","",NO,YES,NO,COMP_ONLY
"(none)","とびます","",NO,YES,NO,COMP_ONLY
"(none)","とまります","",NO,YES,NO,COMP_ONLY
"(none)","とります","",NO,YES,NO,COMP_ONLY
"(none)","ど","",NO,YES,NO,COMP_ONLY
"(none)","どういたしまして","",NO,YES,NO,COMP_ONLY
"(none)","どうもありがとう","",NO,YES,NO,COMP_ONLY
"(none)","どこか","",NO,YES,NO,COMP_ONLY
"(none)","どんな","",NO,YES,NO,COMP_ONLY
"(none)","なきます","",NO,YES,NO,COMP_ONLY
"(none)","なに","",NO,YES,NO,COMP_ONLY
"(none)","なにか","",NO,YES,NO,COMP_ONLY
"(none)","ならいます","",NO,YES,NO,COMP_ONLY
"(none)","ならびます","",NO,YES,NO,COMP_ONLY
"(none)","ならべます","",NO,YES,NO,COMP_ONLY
"(none)","なります","",NO,YES,NO,COMP_ONLY
"(none)","なん","",NO,YES,NO,COMP_ONLY
"(none)","なん/なに","",YES,YES,NO,CURR+COMP
"(none)","なんじ","",NO,YES,NO,COMP_ONLY
"(none)","なんにち","",NO,YES,NO,COMP_ONLY
"(none)","にち","",NO,YES,NO,COMP_ONLY
"(none)","にねん","",NO,YES,NO,COMP_ONLY
"(none)","にほん","",NO,YES,NO,COMP_ONLY
"(none)","にほんご","",NO,YES,NO,COMP_ONLY
"(none)","にん","",NO,YES,NO,COMP_ONLY
"(none)","ぬぎます","",NO,YES,NO,COMP_ONLY
"(none)","ぬります","",NO,YES,NO,COMP_ONLY
"(none)","ねます","",NO,YES,NO,COMP_ONLY
"(none)","ねん","",NO,YES,NO,COMP_ONLY
"(none)","のぼります","",NO,YES,NO,COMP_ONLY
"(none)","のみます","",NO,YES,NO,COMP_ONLY
"(none)","のります","",NO,YES,NO,COMP_ONLY
"(none)","はいります","",NO,YES,NO,COMP_ONLY
"(none)","はきます","",NO,YES,NO,COMP_ONLY
"(none)","はじまります","",NO,YES,NO,COMP_ONLY
"(none)","はじめに","",NO,YES,NO,COMP_ONLY
"(none)","はじめまして","",NO,YES,NO,COMP_ONLY
"(none)","はたらきます","",NO,YES,NO,COMP_ONLY
"(none)","はなします","",NO,YES,NO,COMP_ONLY
"(none)","はは","",NO,YES,NO,COMP_ONLY
"(none)","はります","",NO,YES,NO,COMP_ONLY
"(none)","はれます","",NO,YES,NO,COMP_ONLY
"(none)","ひ","",NO,YES,NO,COMP_ONLY
"(none)","ひき","",NO,YES,NO,COMP_ONLY
"(none)","ひきます","",NO,YES,NO,COMP_ONLY
"(none)","ひらがな","",NO,YES,NO,COMP_ONLY
"(none)","ふきます","",NO,YES,NO,COMP_ONLY
"(none)","ふります","",NO,YES,NO,COMP_ONLY
"(none)","ふん","",NO,YES,NO,COMP_ONLY
"(none)","ぶん","",NO,YES,NO,COMP_ONLY
"(none)","べんきょうします","",NO,YES,NO,COMP_ONLY
"(none)","ほう","",NO,YES,NO,COMP_ONLY
"(none)","ほんや","",NO,YES,NO,COMP_ONLY
"(none)","ぼく","",NO,YES,NO,COMP_ONLY
"(none)","まい","",NO,YES,NO,COMP_ONLY
"(none)","まいげつ","",NO,YES,NO,COMP_ONLY
"(none)","まいげつ/まいつき","",YES,YES,NO,CURR+COMP
"(none)","まいねん","",NO,YES,NO,COMP_ONLY
"(none)","まいねん/まいとし","",YES,YES,NO,CURR+COMP
"(none)","まがります","",NO,YES,NO,COMP_ONLY
"(none)","まちます","",NO,YES,NO,COMP_ONLY
"(none)","みがきます","",NO,YES,NO,COMP_ONLY
"(none)","みせます","",NO,YES,NO,COMP_ONLY
"(none)","みます","",NO,YES,NO,COMP_ONLY
"(none)","みる","",YES,YES,NO,CURR+COMP
"(none)","もく","",NO,YES,NO,COMP_ONLY
"(none)","もしもし","",NO,YES,NO,COMP_ONLY
"(none)","もちます","",NO,YES,NO,COMP_ONLY
"(none)","もちろん","",NO,YES,NO,COMP_ONLY
"(none)","もっていきます","",NO,YES,NO,COMP_ONLY
"(none)","もらいます","",NO,YES,NO,COMP_ONLY
"(none)","もんだいようし","",NO,YES,NO,COMP_ONLY
"(none)","もんだいれい","",NO,YES,NO,COMP_ONLY
"(none)","や","",NO,YES,NO,COMP_ONLY
"(none)","やじるし","",NO,YES,NO,COMP_ONLY
"(none)","やすみます","",NO,YES,NO,COMP_ONLY
"(none)","やります","",NO,YES,NO,COMP_ONLY
"(none)","ゆっくり","",NO,YES,NO,COMP_ONLY
"(none)","よびます","",NO,YES,NO,COMP_ONLY
"(none)","よみます","",NO,YES,NO,COMP_ONLY
"(none)","より、ほう","",YES,YES,NO,CURR+COMP
"(none)","よろしく","",NO,YES,NO,COMP_ONLY
"(none)","りょこうがいしゃ","",NO,YES,NO,COMP_ONLY
"(none)","りょこうします","",NO,YES,NO,COMP_ONLY
"(none)","りんご","",NO,YES,NO,COMP_ONLY
"(none)","れんしゅう","",NO,YES,NO,COMP_ONLY
"(none)","れんしゅうします","",NO,YES,NO,COMP_ONLY
"(none)","ろっぽん","",NO,YES,NO,COMP_ONLY
"(none)","わかります","",NO,YES,NO,COMP_ONLY
"(none)","わすれます","",NO,YES,NO,COMP_ONLY
"(none)","わたします","",NO,YES,NO,COMP_ONLY
"(none)","わたります","",NO,YES,NO,COMP_ONLY
"(none)","アメリカ","",NO,YES,NO,COMP_ONLY
"(none)","エアコン","",NO,YES,NO,COMP_ONLY
"(none)","カタカナ","",NO,YES,NO,COMP_ONLY
"(none)","キロ","",NO,YES,NO,COMP_ONLY
"(none)","キロ/キログラム","",YES,YES,NO,CURR+COMP
"(none)","キロ/キロメートル","",YES,YES,NO,CURR+COMP
"(none)","ケーキ","",NO,YES,NO,COMP_ONLY
"(none)","コピー","",NO,YES,NO,COMP_ONLY
"(none)","コピーします","",NO,YES,NO,COMP_ONLY
"(none)","サッカー","",NO,YES,NO,COMP_ONLY
"(none)","ジュース","",NO,YES,NO,COMP_ONLY
"(none)","ティッシュペーパー","",NO,YES,NO,COMP_ONLY
"(none)","トイレットペーパー","",NO,YES,NO,COMP_ONLY
"(none)","バスがいしゃ","",NO,YES,NO,COMP_ONLY
"(none)","バスてい","",NO,YES,NO,COMP_ONLY
"(none)","バスりょこう","",NO,YES,NO,COMP_ONLY
"(none)","パンや","",NO,YES,NO,COMP_ONLY
"(none)","ビル","",NO,YES,NO,COMP_ONLY
"(none)","メモ","",NO,YES,NO,COMP_ONLY
"(none)","メモします","",NO,YES,NO,COMP_ONLY
"(none)","ラジカセ/ラジオカセット","",YES,YES,NO,CURR+COMP
"(none)","ラーメン","",NO,YES,NO,COMP_ONLY
"何","(reading needed)","",YES,YES,NO,CURR+COMP
"毎年","(reading needed)","",YES,YES,NO,CURR+COMP
"毎月","(reading needed)","",YES,YES,NO,CURR+COMP
"見る観る","(reading needed)","",YES,YES,NO,CURR+COMP
